source_document,source_page,source_citation,measurement_name,body_region,population,country,sex,sample_size,stat_type,percentile,value_cm,value_mm,value_in,data_quality_note
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,mean,,83.83,838.3,33.004,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,std_dev,,4.52,45.2,1.78,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,max,,102.2,1022.0,40.236,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,min,,65.3,653.0,25.709,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,1,73.89,738.9,29.091,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,2,75.02,750.2,29.535,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,3,75.73,757.3,29.815,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,5,76.69,766.9,30.193,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,10,78.18,781.8,30.78,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,15,79.2,792.0,31.181,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,20,80.01,800.1,31.5,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,25,80.72,807.2,31.78,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,30,81.36,813.6,32.031,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,35,81.96,819.6,32.268,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,40,82.54,825.4,32.496,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,45,83.1,831.0,32.717,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,50,83.66,836.6,32.937,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,55,84.23,842.3,33.161,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,60,84.81,848.1,33.39,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,65,85.42,854.2,33.63,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,70,86.07,860.7,33.886,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,75,86.77,867.7,34.161,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,80,87.57,875.7,34.476,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,85,88.51,885.1,34.846,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,90,89.71,897.1,35.319,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,95,91.5,915.0,36.024,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,97,92.67,926.7,36.484,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,98,93.53,935.3,36.823,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,female,2208,percentile,99,94.86,948.6,37.346,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,mean,,88.74,887.4,34.937,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,std_dev,,4.71,47.1,1.854,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,max,,111.4,1114.0,43.858,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,min,,71.5,715.0,28.15,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,1,78.43,784.3,30.878,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,2,79.71,797.1,31.382,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,3,80.48,804.8,31.685,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,5,81.48,814.8,32.079,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,10,82.98,829.8,32.669,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,15,83.99,839.9,33.067,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,20,84.79,847.9,33.382,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,25,85.49,854.9,33.657,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,30,86.13,861.3,33.909,
Anthropometric Detailed Data Tables (ANSUR 1988),1,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Buttock Height,lower_limb,US Military Personnel,USA,male,1774,percentile,35,86.74,867.4,34.15,
