source_document,source_page,source_citation,measurement_name,body_region,population,country,sex,sample_size,stat_type,percentile,value_cm,value_mm,value_in,data_quality_note
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,mean,,32.88,328.8,12.945,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,std_dev,,1.77,17.7,0.697,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,max,,41.3,413.0,16.26,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,min,,23.7,237.0,9.331,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,1,29.93,299.3,11.783,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,2,29.35,293.5,11.555,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,3,29.63,296.3,11.665,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,5,30.02,300.2,11.819,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,10,30.63,306.3,12.059,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,15,31.04,310.4,12.22,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,20,31.37,313.7,12.35,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,25,31.66,316.6,12.465,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,30,31.92,319.2,12.567,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,35,32.17,321.7,12.665,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,40,32.4,324.0,12.756,
Anthropometric Detailed Data Tables (ANSUR 1988),6,"Gordon CC, Churchill T, Clauser CE et al. (1989). 1988 Anthropometric Survey of U.S. Personnel: Summary Statistics Interim Report. US Army Natick Research, Development and Engineering Center. March 1989.",Elbow-Center of Grip Length,forearm,US Military Personnel,USA,female,2208,percentile,45,32.62,326.2,12.843,
