source_document,source_page,source_citation,measurement_name,body_region,measurement_method_note,population,country,sex,age_group,sample_size,stat_type,percentile,value_cm,value_mm,value_in,data_quality_note
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,mean,,4.78,47.8,1.8819,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,std_dev,,0.25,2.5,0.0984,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,min,,3.72,37.2,1.4646,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,max,,5.32,53.2,2.0945,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,mean,,4.82,48.2,1.8976,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,std_dev,,0.54,5.4,0.2126,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,min,,3.72,37.2,1.4646,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Thumb,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,max,,6.28,62.8,2.4724,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,mean,,6.14,61.4,2.4173,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,std_dev,,0.31,3.1,0.122,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,min,,5.58,55.8,2.1969,
